y,phi_A,phi_B
1.105221044208843,0.6535721487958979,0.7266396408724966
1.2052410482096434,0.6922348233497714,0.7437468452515816
1.3052610522104438,0.7272942056620362,0.7601107724309129
1.405281056211244,0.7589287126097957,0.7757183596355751
1.5053010602120445,0.78734533286599,0.7905637075093784
1.6053210642128448,0.8127688608581205,0.8046474632974457
1.7053410682136452,0.8354327809067507,0.8179761421437103
1.8053610722144455,0.8555718584280626,0.8305614141376172
1.9053810762152459,0.873416367280524,0.8424193816317713
2.0054010802160427,0.889187800204418,0.8535698676681576
2.105421084216843,0.9030958650830548,0.8640357324153338
2.2054410882176434,0.9153365543114923,0.8738422305992788
2.3054610922184438,0.9260910791104844,0.8830164192112224
2.405481096219244,0.9355254776795545,0.8915866214399151
2.5055011002200445,0.9437907298000408,0.8995819498897673
2.605521104220845,0.9510232366619598,0.9070318897485574
2.705541108221645,0.9573455504942574,0.9139659406593716
2.8055611122224455,0.9628672623400676,0.9204133146039015
2.905581116223246,0.9676859771720054,0.9264026860726973
3.0056011202240462,0.9718883231859187,0.9319619901266357
3.1056211242248466,0.9755509566020181,0.9371182635830793
3.205641128225647,0.9787415349031456,0.9418975244310296
3.3056611322264473,0.9815196405141899,0.9463246846371399
3.4056811362272477,0.9839376438675951,0.9504234916998396
3.505701140228048,0.9860414999886473,0.9542164946000156
3.6057211442288484,0.9878714765165323,0.9577250301488689
3.7057411482296487,0.98946281375317,0.9609692261187491
3.805761152230449,0.9908463191536943,0.9639680179392439
3.905781156231246,0.9920488998466951,0.9667391761323471
4.005801160232046,0.9930940374646877,0.9692993420355711
4.105821164232847,0.994002209906319,0.9716640697126403
4.205841168233647,0.9947912647428735,0.9738478722731496
4.305861172234447,0.9954767489000914,0.975864271112978
4.405881176235248,0.9960721990504503,0.9777258468456246
4.505901180236048,0.9965893968840648,0.9794442909217331
4.605921184236848,0.9970385931197255,0.9810304571313547
4.705941188237649,0.9974287037938018,0.9824944123531262
4.805961192238449,0.9977674820394433,0.9838454860589021
4.905981196239249,0.9980616682523159,0.9850923182040366
5.00600120024005,0.9983171212387703,0.9862429052350313
5.10602120424085,0.998538932661933,0.9873046440301301
5.2060412082416505,0.9987315268427938,0.9882843736569641
5.306061212242451,0.9988987477376366,0.9891884148866984
5.406081216243251,0.9990439346998848,0.9900226074482336
