r,psi
47.69,1.7454875500122716e-05
47.769999999999996,1.712659491743791e-05
47.85,1.6804413622040556e-05
47.93,1.6488216875636877e-05
48.01,1.617789207120806e-05
48.089999999999996,1.5873328692907668e-05
48.17,1.557441827670362e-05
48.25,1.5281054371750793e-05
48.33,1.4993132502480935e-05
48.41,1.4710550131395751e-05
48.49,1.4433206622550304e-05
48.57,1.4161003205713495e-05
48.65,1.3893842941193149e-05
48.73,1.3631630685312828e-05
48.81,1.3374273056528415e-05
48.89,1.3121678402172182e-05
48.97,1.2873756765812523e-05
49.05,1.2630419855217795e-05
49.13,1.2391581010912952e-05
49.21,1.2157155175317437e-05
49.29,1.1927058862453719e-05
49.37,1.1701210128215448e-05
49.449999999999996,1.1479528541184658e-05
49.53,1.1261935153987844e-05
49.61,1.1048352475180453e-05
49.69,1.0838704441649998e-05
49.769999999999996,1.0632916391527414e-05
49.85,1.0430915037598017e-05
49.93,1.0232628441201747e-05
50.01,1.003798598661364e-05
50.089999999999996,9.846918355895423e-06
50.17,9.659357504209208e-06
50.25,9.475236635585149e-06
50.33,9.294490179133099e-06
50.41,9.117053765691014e-06
50.49,8.942864204901077e-06
50.57,8.771859462705814e-06
50.65,8.603978639255847e-06
50.73,8.439161947221873e-06
50.81,8.277350690502375e-06
50.89,8.118487243320246e-06
50.97,7.962515029700612e-06
51.05,7.80937850332243e-06
51.13,7.659023127736797e-06
51.21,7.5113953569449265e-06
51.29,7.366442616328829e-06
51.37,7.2241132839278755e-06
51.449999999999996,7.084356672054758e-06
51.53,6.947123009244087e-06
51.61,6.812363422527282e-06
51.69,6.680029920027527e-06
51.769999999999996,6.5500753738683525e-06
51.85,6.422453503390067e-06
51.93,6.297118858667786e-06
52.01,6.174026804325432e-06
52.089999999999996,6.053133503639729e-06
52.17,5.934395902928608e-06
52.25,5.817771716218621e-06
52.33,5.703219410185555e-06
52.41,5.590698189363205e-06
52.49,5.480167981614917e-06
52.57,5.371589423862723e-06
52.65,5.264923848068992e-06
52.73,5.160133267465554e-06
52.81,5.057180363025557e-06
52.89,4.95602847017297e-06
52.97,4.856641565725219e-06
53.05,4.758984255064385e-06
53.13,4.663021759532117e-06
53.21,4.568719904043868e-06
53.29,4.4760451049181915e-06
53.37,4.384964357916528e-06
53.449999999999996,4.29544522648948e-06
53.53,4.207455830225192e-06
53.61,4.120964833495742e-06
53.69,4.035941434297626e-06
53.769999999999996,3.952355353282243e-06
53.85,3.870176822972529e-06
53.93,3.7893765771618927e-06
54.01,3.709925840491639e-06
54.089999999999996,3.6317963182032024e-06
54.17,3.5549601860615497e-06
54.25,3.4793900804461794e-06
54.33,3.4050590886060945e-06
54.41,3.3319407390753744e-06
54.49,3.260008992245926e-06
54.57,3.1892382310939815e-06
54.65,3.1196032520571253e-06
54.73,3.051079256058585e-06
54.81,2.9836418396755134e-06
54.89,2.9172669864482264e-06
54.97,2.851931058327229e-06
55.05,2.7876107872549904e-06
55.13,2.724283266879521e-06
55.21,2.6619259443967138e-06
55.29,2.600516612518661e-06
55.37,2.540033401564963e-06
55.449999999999996,2.4804547716742807e-06
55.53,2.421759505133318e-06
55.61,2.3639266988206347e-06
55.69,2.3069357567624194e-06
55.769999999999996,2.250766382797649e-06
55.85,2.195398573350011e-06
55.93,2.140812610304029e-06
